name,url
IDCarrier/OwnerDistance,https://www.antennasearch.com//HTML/individual/regTower.php?registration_number=1300871
0 Us Cellular0.1 mi ,https://www.antennasearch.com//HTML/individual/regTower.php?registration_number=1040091
1 Winstar Wireless Fiber  Corp.0.2 mi ,https://www.antennasearch.com//HTML/individual/regTower.php?registration_number=1217827
2 AT&T0.2 mi ,https://www.antennasearch.com//HTML/individual/regTower.php?registration_number=1019866
3 AT&T0.2 mi ,https://www.antennasearch.com//HTML/individual/regTower.php?registration_number=1019868
"4 Amfm Operating, Inc.0.3 mi ",https://www.antennasearch.com//HTML/individual/regTower.php?registration_number=1060761
5 Union Pacific Railroad0.3 mi ,https://www.antennasearch.com//HTML/individual/regTower.php?registration_number=1008798
6 Union Pacific Railroad0.3 mi ,https://www.antennasearch.com//HTML/individual/regTower.php?registration_number=1008798
"7 Bre 312 Broadcast, Llc0.4 mi ",https://www.antennasearch.com//HTML/individual/regTower.php?registration_number=1032959
"8 Bre 312 Broadcast, Llc0.4 mi ",https://www.antennasearch.com//HTML/individual/regTower.php?registration_number=1032960
9 Union Pacific Railroad0.4 mi ,https://www.antennasearch.com//HTML/individual/regTower.php?registration_number=1008800
10 AT&T0.4 mi ,https://www.antennasearch.com//HTML/individual/regTower.php?registration_number=1021705
11 T-mobile0.5 mi ,https://www.antennasearch.com//HTML/individual/regTower.php?registration_number=1209172
12 Trump Commercial Chicago Llc0.5 mi ,https://www.antennasearch.com//HTML/individual/regTower.php?registration_number=1279395
13 AT&T0.5 mi ,https://www.antennasearch.com//HTML/individual/regTower.php?registration_number=1019869
14 T-mobile0.6 mi ,https://www.antennasearch.com//HTML/individual/regTower.php?registration_number=1209181
"15 Hubbard Radio Chicago, Llc0.6 mi ",https://www.antennasearch.com//HTML/individual/regTower.php?registration_number=1232992
16 AT&T0.6 mi ,https://www.antennasearch.com//HTML/individual/regTower.php?registration_number=1019870
17 T-mobile0.7 mi ,https://www.antennasearch.com//HTML/individual/regTower.php?registration_number=1209171
18 T-mobile0.8 mi ,https://www.antennasearch.com//HTML/individual/regTower.php?registration_number=1209184
19 Commonwealth  Edison  Company0.9 mi ,https://www.antennasearch.com//HTML/individual/regTower.php?registration_number=1009173
20 T-mobile1.0 mi ,https://www.antennasearch.com//HTML/individual/regTower.php?registration_number=1209193
"21 Chicago, City Of1.1 mi ",https://www.antennasearch.com//HTML/individual/regTower.php?registration_number=1002153
22 T-mobile1.1 mi ,https://www.antennasearch.com//HTML/individual/regTower.php?registration_number=1209188
23 T-mobile1.1 mi ,https://www.antennasearch.com//HTML/individual/regTower.php?registration_number=1209191
24 American Towers Llc1.2 mi ,https://www.antennasearch.com//HTML/individual/regTower.php?registration_number=1009012
25 American Towers Llc1.2 mi ,https://www.antennasearch.com//HTML/individual/regTower.php?registration_number=1009013
26 Ccatt Llc1.3 mi ,https://www.antennasearch.com//HTML/individual/regTower.php?registration_number=1000337
27 T-mobile1.4 mi ,https://www.antennasearch.com//HTML/individual/regTower.php?registration_number=1209732
28 AT&T1.4 mi ,https://www.antennasearch.com//HTML/individual/regTower.php?registration_number=1019867
29 T-mobile1.5 mi ,https://www.antennasearch.com//HTML/individual/regTower.php?registration_number=1209066
30 AT&T1.5 mi ,https://www.antennasearch.com//HTML/individual/regTower.php?registration_number=1009137
31 Northeast Illinois Regional Commuter Railroad Corp1.6 mi ,https://www.antennasearch.com//HTML/individual/regTower.php?registration_number=1061675
32 T-mobile1.8 mi ,https://www.antennasearch.com//HTML/individual/regTower.php?registration_number=1209733
33 AT&T1.9 mi ,https://www.antennasearch.com//HTML/individual/regTower.php?registration_number=1019864
"34 Illinois, State Of2.1 mi ",https://www.antennasearch.com//HTML/individual/regTower.php?registration_number=1205338
35 T-mobile2.1 mi ,https://www.antennasearch.com//HTML/individual/regTower.php?registration_number=1208838
36 AT&T2.1 mi ,https://www.antennasearch.com//HTML/individual/regTower.php?registration_number=1065753
37 American Towers Llc2.3 mi ,https://www.antennasearch.com//HTML/individual/regTower.php?registration_number=1223052
"38 Sba 2012 Tc Assets, Llc2.3 mi ",https://www.antennasearch.com//HTML/individual/regTower.php?registration_number=1270302
39 AT&T2.3 mi ,https://www.antennasearch.com//HTML/individual/regTower.php?registration_number=1281458
40 Koziel Llc2.6 mi ,https://www.antennasearch.com//HTML/individual/regTower.php?registration_number=1060627
"41 Apc Towers, Llc2.9 mi ",https://www.antennasearch.com//HTML/individual/regTower.php?registration_number=1300871